id,name,,,,,,,,
1,Vsmart,,,,,,,,
2,iPhone,,,,,,,,
3,Samsung,,,,,,,,
102,Xiaomi,,,,,,,,
104,Oppo,,,,,,,,
105,Nokia,,,,,,,,
109,Apple,,,,,,,,
id,note,user_id,product_id,created_at,updated_at,status,,,
53,Chủ đề Hello- Nội dung Tester,55,48,5/12/2022 07:17,5/6/2022 07:17,0,,,
54,Good!,55,21,5/12/2022 07:17,5/6/2022 07:17,0,,,
55,Chủ đề Test_2- Nội dung None,55,48,5/12/2022 07:20,5/6/2022 07:20,0,,,
56,Chủ đề Tester- Nội dung Tester,56,48,5/12/2022 07:21,5/6/2022 09:11,0,,,
57,Chủ đề Alo- Nội dung Alo,55,48,5/12/2022 09:46,5/6/2022 09:47,0,,,
id,fullname,email,phone,user_id,status,deleted,address,created_at,total_money
43,tester,tester@gmail.com,1234,56,3,0,HCMUT,1/1/2022 06:38,169950000
44,tester,tester@gmail.com,12345,56,3,0,HCMUT2,2/2/2022 11:39,30900000
45,tester_1,tester_1@gmail.com,1234,56,3,0,tester_1,3/3/2022 06:48,5490000
46,tester2,tester2@gmail.com,1234,56,3,0,1234,4/4/2022 06:51,5490000
47,tester,1234@gmailc.om,1234,56,3,0,1234,5/5/2022 11:51,25000000
48,tester,tester@gmail.com,1234,56,3,0,HCMUT,6/6/2022 07:08,35050000
49,tester,tester@gmail.com,1234,56,3,0,HCMUT,7/7/2022 07:09,21990000
50,tester,tester@gmail.com,1234,56,3,0,1234,8/8/2022 07:09,8990000
51,tester2,tester2@gmail.com,1234,56,3,0,1234,9/9/2022 07:10,6090000
52,tester2,1@yahoo.com,1234,56,3,0,1234,10/10/2022 07:11,28000000
53,tester2,test@gmail.com,1234,56,3,0,1234,11/11/2022 07:11,25990000
54,tester,tester@gmail.com,1234,56,3,0,HCMUT,12/12/2022 07:12,115970000
55,test_ip,1234@yahoo.com,1234,56,3,0,1234,5/6/2022 14:40,33990000
56,test_ip_2,tester2@gmail.com,1234,56,3,0,1234,5/6/2022 09:40,33990000
57,tester2,da@yahoo.com.vn,312312,56,3,0,123,8/11/2022 16:21,95990000
58,user,CSE@hcmtu.edu.vn,123121,56,0,0,CSE,30/11/2022 13:16,191980000
id,order_id,product_id,price,num,total_money,,,,
78,43,21,33990000,5,169950000,,,,
79,44,1,30900000,1,30900000,,,,
80,45,33,5490000,1,5490000,,,,
81,46,33,5490000,1,5490000,,,,
82,47,7,25000000,1,25000000,,,,
83,48,7,25000000,1,25000000,,,,
84,48,35,4950000,1,4950000,,,,
85,48,39,5100000,1,5100000,,,,
86,49,45,21990000,1,21990000,,,,
87,50,34,8990000,1,8990000,,,,
88,51,37,6090000,1,6090000,,,,
89,52,4,28000000,1,28000000,,,,
90,53,18,25990000,1,25990000,,,,
91,54,6,23990000,1,23990000,,,,
92,54,7,25000000,1,25000000,,,,
93,54,11,40990000,1,40990000,,,,
94,54,18,25990000,1,25990000,,,,
95,55,21,33990000,1,33990000,,,,
96,56,21,33990000,1,33990000,,,,
97,57,53,95990000,1,95990000,,,,
98,58,53,95990000,2,191980000,,,,
id,order_id,user_id,money,note,vnp_response_code,code_vnpay,code_bank,time,
id,category_id,title,price,discount,thumbnail,description,created_at,updated_at,deleted
1,2,iPhone 12 Pro Max,30900000,32990000,https://image.cellphones.com.vn/358x/media/catalog/product/i/p/iphone-12-pro-max_3__10.jpg,,22/10/2021 07:46,22/10/2021 07:46,0
2,2,iPhone 13 Pro | Chính hãng VN/A,30990000,NULL,https://image.cellphones.com.vn/358x/media/catalog/product/i/p/iphone_13-_pro-5.jpg,NULL,22/10/2021 12:57,22/10/2021 12:57,0
3,2,iPhone 11 128GB,19000000,19900000,https://image.cellphones.com.vn/358x/media/catalog/product/l/a/layer_19_1.jpg,,22/10/2021 12:57,22/10/2021 12:57,0
4,2,iPhone 12 Pro,28000000,30990000,https://image.cellphones.com.vn/358x/media/catalog/product/i/p/iphone-12-pro-max_3__10.jpg,,22/10/2021 12:58,22/10/2021 12:58,0
5,3,Samsung Galaxy Note 20 Ultra 5G,21500000,32990000,https://image.cellphones.com.vn/358x/media/catalog/product/y/e/yellow_final_2.jpg,NULL,22/10/2021 10:10,22/10/2021 10:10,0
6,3,Samsung Galaxy Z Flip3 5G,23990000,24990000,https://image.cellphones.com.vn/358x/media/catalog/product/8/0/800x800_flip_3_cream.png,NULL,22/10/2021 10:10,22/10/2021 10:10,0
7,3,Samsung Galaxy S21 Ultra 5G,25000000,30990000,https://image.cellphones.com.vn/358x/media/catalog/product/6/3/637462630853935725_ss-s21-ultra-den-1_1.jpg,NULL,22/10/2021 10:12,22/10/2021 10:12,0
8,3,Samsung Galaxy A72,10100000,11490000,https://image.cellphones.com.vn/358x/media/catalog/product/s/a/samsung-galaxy-a72-30.jpg,NULL,22/10/2021 10:12,22/10/2021 10:12,0
10,3,Samsung Galaxy S20 FE 256GB (Fan Edition),12250000,15490000,https://image.cellphones.com.vn/358x/media/catalog/product/s/a/samsung-galaxy-20-fe_4_.jpg,NULL,22/10/2021 12:47,22/10/2021 12:47,0
11,3,Samsung Galaxy Z Fold3 5G,40990000,41990000,https://image.cellphones.com.vn/358x/media/catalog/product/s/m/sm-f926_zfold3_5g_openback_phantomgreen_210602.jpg,NULL,22/10/2021 12:47,22/10/2021 12:47,0
12,3,Samsung Galaxy A52s 5G,10000000,10990000,https://image.cellphones.com.vn/358x/media/catalog/product/0/4/04_2_4.png,NULL,22/10/2021 12:47,22/10/2021 12:47,0
13,3,Samsung Galaxy A32,5650000,6690000,https://image.cellphones.com.vn/358x/media/catalog/product/s/a/samsung-galaxy-a32-20.jpg,NULL,22/10/2021 12:47,22/10/2021 12:47,0
14,3,Samsung Galaxy A12,4150000,4290000,https://image.cellphones.com.vn/358x/media/catalog/product/s/a/samsung-galaxy-a12_2_.jpg,NULL,22/10/2021 12:47,22/10/2021 12:47,0
15,3,Samsung Galaxy A22 4G,5600000,5890000,https://image.cellphones.com.vn/358x/media/catalog/product/a/2/a22-2.jpg,NULL,22/10/2021 12:47,22/10/2021 12:47,0
16,3,Samsung Galaxy Note 20 Ultra,19200000,29990000,https://image.cellphones.com.vn/358x/media/catalog/product/b/l/black_final.jpg,NULL,22/10/2021 12:47,22/10/2021 12:47,0
